av号,播放量,标题
19390801,52358183,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】
53851218,51508946,【猛男版】新 宝 岛
62162985,47354957,影   流   之   主
21061574,34759609,【面筋哥×波澜哥】我的烤面筋，融化你的心！
4033926,31054315,【电音单曲】我是papi酱
1250357,30508330, 【古筝】千本樱——你可见过如此凶残的练习曲
3327562,29881434,【全明星Rap】黑喂狗！
60731116,26709646,【派大星的独白】一个关于正常人的故事
18193325,26525952,【五五开】穷开挂
2648921,25480254,【鬼畜全明星】双♂人♂舞
4606803,25122145,主播真会玩鬼畜篇01：我是全英雄联盟最骚的骚猪!
2271112,24686711,【循环向】跟着雷总摇起来！Are you OK！
53058902,23867310,正能量语录奥利给
56927206,21766809,【每天一遍，防止抑郁】看简介，欢迎白嫖.抖就完事了
39381375,21082048,国防部想把我笑死！！！
40672186,19131257,英文版《改革春风吹满地》！！Chinese people so 牛逼！
6643355,18691784,黑社会砸网吧 我从53秒笑到1分30秒
68456958,17249138,高能经典名场面 快乐源泉！！
9505347,16877515,【爱情公寓】一口气全念对
2023391,16434240,【成龙】我的洗发液
46996647,16349419,【漫威/DC/踩点/1080p】前方高能！使人起鸡皮疙瘩的踩点与衔接的视觉盛宴！
8247204,15260377,【最强卖鞋哥】这双王八牌皮鞋，我买定了！
51811079,15140000,电影《大侦探皮卡丘》玩整版1080P
15616081,15057985,【全程高能开口跪】那些年直击灵魂的神级吟唱现场
35550776,14837008,元气少女翻唱最嗨《青鸟》，惊呆吴亦凡，日语出来瞬间燃到炸裂！
902007,14661450,【红日】梁逸峰你朗诵这么屌你家里人知道吗？
22444246,14508654,【王境泽】乱世巨星
75010741,14460613,全班唯一看破红尘的学生
57315048,14429095,警察都要被你给笑死!小伙子很厉害嘛。笑死我了啊
50941399,14369654,【经典老番】监狱风云1
18667739,14237353,《极乐净土》现场版，恭喜你们找到了万恶之源！
50331935,13553444,前方高能！让世界感受这场视觉盛宴吧！
12611527,13428033,17张牌你能秒我？？你能秒杀我？？17张牌你今天能把我卢本伟秒了，我当场就把这个电脑屏幕吃掉！！！
65625263,13313450,这段视频我将珍藏一生，是我永远的快乐源泉~看一次我都笑一次
63628896,13059953,不能我一个人笑死，都给我点进来听【黄晓明】唱歌！
21340266,12675141,人才！这是一个我看了从头笑到尾的视频哈哈哈哈哈
28182958,12475709,居然把老娘的歌唱的这么好听！国外好声音最棒的Taylor Swift翻唱！
3037947,12463161,【小明&老王】此物天下绝响
10729179,12307818,波澜哥原版视频 素材
3818869,12224625,【康熙说唱王朝】部落到帝国·怒斥群臣
33339663,12085898,高手在民间，失手在阴间！最佳失误集锦 #16
78698782,12070521,奥利给妙妙屋
76367255,12047269,影流之主本人
80856554,11891453,【现 代 圣 杯 战 争】
39425207,11851656,她哭的那个瞬间 全世界都输了
65408651,11761296,【全明星】芒种
6108496,11219319,【全明星】一人我饮酒醉
5622854,11107032,【吕子乔】极乐净土
1328701,11016680,【火影忍者】用战斗来祭奠这个世界 ！！
17486449,10833663,b站弹幕最凶残的视频排行榜【1~14】
36945064,10810797,就是他！让网易云评论区全是卧槽的人！
12236018,10810715,海口蹦迪王
10842436,10794715,那些年成了精的猫咪，笑死我了
5840498,10754102,菲律宾的灵魂跳水队
26264474,10630875,一分钟高能，笑成一头猪哈哈哈哈哈
61089242,10585807,不要惹穿中山装的男人！
45031807,10556252,the real suger baby已知最高画质
7439521,10466636,李云龙：你猜旅长怎么说？
12012048,10405366,【神医RAP】我还治不死你？
59936588,9926910,当我拔剑的那一刻，全世界都将为之颤抖！！！
54332101,9830699,【猛男/新宝岛】现场原版舞蹈
63206112,9819843,我的名字叫赌怪!
47330186,9763129,本以为是普通明星，没想到却是中国顶级歌手，看傻韩国观众！
4619916,9717588,笑出腹肌！当PDD看自己的鬼畜
75169619,9560914,前方高能！只需10s！我将从你手中抢走硬币！
57798444,9560523,【卢本伟主演】头号玩家！第一集：面对鲲鲲的挑战，开车还是开扌？
3334641,9520041,金凯瑞摇头三人组（高清画质原版音频）
12903265,9483605,【黑虎阿福】我不仅会骚话Rap，我还会用骚话唱歌！
37250990,9407166,这是一首唯一在任何音乐软件都要收费的歌！
68740307,9255503,【全明星rap】野狼disco 最骚版本
68364792,9237018,压抑到极致的瞬间燃爆！！！我拯救了世界 世界却抛弃了我
28257897,9193908,国外牛人系列
82766716,9172469,【处处吻】 愣着干嘛 进来白嫖啊
7658675,9039725,【你的名字非洲版】你叫什么？我的名字是Uvuvwevwevwe Onyetenyevwe Ugwemuhwem Osas
49868991,9030569,【特效向】蔡徐坤VS全明星
66454126,8960982,苏 联 空 降 兵 单 兵 作 战 口 粮
54127949,8923143,【雨女无瓜】轮到游乐王子给你洗脑了
57026021,8920471,【全明星Rap】那才叫爽
19738203,8860183,忍住别笑  (只有3%的人做得到）
19536380,8842545,【央视段子手】朱广权：我一首rap就是一期节目！
32504233,8821625,【英雄联盟】2018全球总决赛MV—登峰造极境 Rise
74265275,8683902,当你迷失自我的时候请看下这个视频
44769755,8683813,【李云龙】出山
16250438,8667430,据说拍摄的人已经笑死了
10066920,8601385,开哥这局斗地主快笑死我了哈哈哈哈哈哈哈哈哈哈哈哈
67749327,8546023,【爱情公寓rap】张伟：你是软蛋 他是淫贼 我是穷鬼
60861796,8487119,改变桥本环奈命运的眼镜
76728524,8368449,我承认这个猕猴桃我有赌的成分
33842291,8202609,开口就致命的演唱现场
7432563,8119941,【周某】我的看守所
51532753,8100280,油管上一个亿的特朗普的鬼畜，xswl。
40180906,7917678,[中字] 如何唱出Lemon的精髓 @ガーリィレコード
34160882,7899710,【李云龙】沙漠骆驼（全程高燃）
57112977,7891387,把B站万恶之源的舞蹈片段汇聚在一起！祝B站越来越社会！干杯十周年，我已经嗨到不行！
314,7882275,电磁炮真是太可爱了
5260479,7758084,这土拨鼠叫得人撕心裂肺
40874583,7668407,他永远都不知道他这首歌在QQ飞车里有多火
67343294,7591755,狂 徒 影 流 之 主
48220814,7575251,【七代小丑/踩点/混剪/高燃】前方高能！欢乐与惊悚的踩点视觉盛宴！希斯莱杰诞辰40周年纪念。
56245455,7498046,美国人民热情的清晨慰问
79174576,7458830,隔几天来看一次，这视频我可以笑一年
35924924,7446972,是普通话太烫嘴吗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
83484866,7404726,慎入！前方极度妩媚 那些你惹不起的战斗天使 穿上高跟鞋攻击力翻倍！
41301960,7404516,【英雄联盟】2019赛季CG 《觉醒》
56444695,7318751,一步错，步步错
1615265,7242729,真的燃曲，是撕心裂肺的呐喊，还是震撼灵魂的声音【高音质27·不一样的AB】
54145990,7218558,论男人如何恶心男人
39998869,7165268,【极乐净土】别人家的超性感物理老师！【青岛实高】
57141942,7154232,你永远不知道中文的力量
54702487,7153842,【高能Rap】疯狂踩点！我们有特殊的辩论技巧！
52400918,7116626,听说这个视频是b站卧槽最多的
25103588,7103562,这个视频我可以笑一年！胆大包天的动物搞笑合集！@油兔不二字幕组
57943602,7040826,【特效向】全明星の终鸡之战
1076105,7030777,妮可 妮可 妮可
1486838,7014152,【这就是爱】如何用100秒让张杰感受UP主的爱
65790846,6988439,【蔡徐坤】芒种
37356228,6916921,央视街头采访遇到的神人神回复，简直防不胜防啊
71601833,6906154,我琢磨了两个半月 最终发现了《哪吒之魔童降世》的正确打开方式
69205620,6878997,一个会“握草”的视频
20268884,6833664,史上男女第一个零分跳水，你要是不笑我给你100块！
85965831,6804929,【抗肺炎】村长硬核广播trap《贱》
43949111,6779506,《氪不氪以》
82724200,6760157,【英雄联盟】战士 – 2020赛季CG动画
21433484,6754710,【面筋哥】 饿狼传说
64812845,6717668,人 型 音 响
70615753,6701644,【英雄联盟】2019全球总决赛MV《涅槃》
83697364,6634328,当她裙里拔枪那一刻！！世界：我赌你的枪里没有子弹！
3161283,6599226,【AMV】 点燃这绝望的火光！！！
39492241,6599080,【1080/漫威/衔接踩点向】前方高能！让人相当舒服的踩点与衔接！
67296060,6588078,人类已经无法阻止哈士奇了
369520,6535910,坚持45分钟就是神
17319556,6481668,Top 10 十大集体装逼/开大的豪华场景
85211830,6461899,姜    子    牙
35583081,6362777,［经典合集］韩红愤怒大喊：绝对假唱！赶紧滚！
58173971,6316467,青岛大学毕业典礼一首高音版《起风了》点燃全场，这才是青春该有的样子
15966743,6310549,诸葛亮的红色蜀国
7952407,6299389,两个总统的差别
75443520,6293760,学了三年动画，毕业作品被老师轰出了教室！
47714764,6220943,我一个中国人笑的浑身发抖…
17289929,6214880,外国人讲中文可以强到什么程度! 我可能遇到的是假老外！！！
38127968,6207050,巅峰时期的周杰伦有多恐怖当《七里香》前奏响起，整个亚洲疯狂
38262830,6203161,【前方高燃】当Bgm响起之时，世间无人将是我的对手！（第二期）
74572887,6187062,卢姥爷的这段把我笑抽了
7905062,6185111,【爱情公寓】我看的爱情公寓怎么有点不一样。。。
9199431,6181478,李云龙：打仗真他娘的有意思
21479207,6088491,【面筋哥】看了那么多鬼畜，快回来看看原版！
56031367,5987686,【超燃/热血】这盛世如你所愿—10分钟爆燃中国近代史电影混剪（传承先烈遗志，共筑强国盛世）
24201406,5956084,【武林外传】是男人就来溜肥肠
31244333,5945716,卢本伟被封杀前做的一件很感人的事情
55590222,5890556,采访第一个出考场的同学
